BEST_BINDING_ENERGY;BEST_REFERENCE_RMSD;BEST_RUN;LIGAND_FILE;PROCESS_ID;RECEPTOR_REC;TYPE
38.64;27.63;18;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4jfa_a.pdb;falciparum
-7.8;26.7;15;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4jfa_a.pdb;falciparum
-7.94;58.2;1;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4pg3_a.pdb;falciparum
-8.05;57.08;7;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4pg3_a.pdb;falciparum
-11.44;55.82;11;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4pg3_a.pdb;falciparum
-9.79;55.28;15;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4pg3_a.pdb;falciparum
-7.41;55.38;13;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4pg3_a.pdb;falciparum
-8.15;80.4;10;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4zcs_a.pdb;falciparum
-7.98;79.08;14;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4zcs_a.pdb;falciparum
-9.52;80.39;1;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4zcs_a.pdb;falciparum
-8.95;80.43;11;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4zcs_a.pdb;falciparum
-6.79;87.38;11;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4zcs_a.pdb;falciparum
-9.42;31.2;16;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_alosterico.pdb;falciparum
-10.08;30.71;17;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_alosterico.pdb;falciparum
-12.07;29.19;11;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_alosterico.pdb;falciparum
-11.45;29.54;16;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_alosterico.pdb;falciparum
-7.77;30.99;8;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_alosterico.pdb;falciparum
-4.24;16.58;3;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_ativo.pdb;falciparum
19.75;17.39;5;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_ativo.pdb;falciparum
39.88;14.18;20;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_ativo.pdb;falciparum
33.2;14.18;1;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_ativo.pdb;falciparum
-6.49;17.3;11;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5boo_A_ativo.pdb;falciparum
-7.77;22.6;13;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5jaz_A.pdb;falciparum
-8.77;24.73;8;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5jaz_A.pdb;falciparum
-8.2;21.34;19;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5jaz_A.pdb;falciparum
-8.52;21.68;17;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5jaz_A.pdb;falciparum
-6.65;23.97;13;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;5jaz_A.pdb;falciparum
-8.65;43.29;6;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6jw9_a.pdb;falciparum
-7.06;43.16;1;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6jw9_a.pdb;falciparum
-9.67;43.03;4;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6jw9_a.pdb;falciparum
-8.44;43.16;9;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6jw9_a.pdb;falciparum
-6.42;42.59;16;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6jw9_a.pdb;falciparum
-9.23;58.41;10;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6r8g_a.pdb;falciparum
-9.08;61.78;12;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6r8g_a.pdb;falciparum
-10.8;59.62;19;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6r8g_a.pdb;falciparum
-10.66;59.71;8;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6r8g_a.pdb;falciparum
-7.64;60.59;20;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;6r8g_a.pdb;falciparum
-8.02;24.39;13;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7dpi_a.pdb;falciparum
-7.76;25.94;8;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7dpi_a.pdb;falciparum
-8.21;25.79;1;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7dpi_a.pdb;falciparum
-8.11;25.62;15;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7dpi_a.pdb;falciparum
-6.53;24.96;17;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7dpi_a.pdb;falciparum
-9.74;265.26;6;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7mxy_a.pdb;falciparum
-9.71;267.66;2;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7mxy_a.pdb;falciparum
-10.83;267.38;2;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7mxy_a.pdb;falciparum
-10.56;267.13;5;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7mxy_a.pdb;falciparum
-7.6;267.53;4;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7mxy_a.pdb;falciparum
-8.12;47.96;5;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7tbc_a.pdb;falciparum
-7.51;48.88;2;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7tbc_a.pdb;falciparum
-8.7;48.74;5;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7tbc_a.pdb;falciparum
-8.6;48.79;6;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7tbc_a.pdb;falciparum
-6.41;47.11;19;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7tbc_a.pdb;falciparum
-6.74;21.41;10;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7zgs_A.pdb;falciparum
-5.44;21.32;3;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7zgs_A.pdb;falciparum
-6.55;18.19;15;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7zgs_A.pdb;falciparum
-7.08;18.76;19;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7zgs_A.pdb;falciparum
-5.35;22.3;1;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;7zgs_A.pdb;falciparum
-8.13;119.25;6;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;8ewz_a.pdb;falciparum
-9.38;121.15;11;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;8ewz_a.pdb;falciparum
-10.79;120.89;19;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;8ewz_a.pdb;falciparum
-10.7;121.04;7;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;8ewz_a.pdb;falciparum
-7.06;120.75;12;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;8ewz_a.pdb;falciparum
